,_time,avg_cpu_used: OTHER,avg_cpu_used: idx1,avg_cpu_used: idx11,avg_cpu_used: idx2,avg_cpu_used: idx3,avg_cpu_used: idx31,avg_cpu_used: idx39,avg_cpu_used: idx40,avg_cpu_used: idx41,avg_cpu_used: idx43,avg_cpu_used: idx69,avg_mem_used: OTHER,avg_mem_used: idx1,avg_mem_used: idx11,avg_mem_used: idx2,avg_mem_used: idx3,avg_mem_used: idx31,avg_mem_used: idx39,avg_mem_used: idx40,avg_mem_used: idx41,avg_mem_used: idx43,avg_mem_used: idx69,_span,_spandays
0,2022-12-29T00:00:00.000+00:00,,9.39672260924636,,9.480189633375469,8.859472513504926,,,,,,,,2695.4399525015847,,2640.223367572692,2304.773897998093,,,,,,,86400,1
1,2022-12-30T00:00:00.000+00:00,,,,,,,,,,,,,,,,,,,,,,,86400,1
2,2022-12-31T00:00:00.000+00:00,,,,,,,,,,,,,,,,,,,,,,,86400,1
3,2023-01-01T00:00:00.000+00:00,,,,,,,,,,,,,,,,,,,,,,,86400,1
4,2023-01-02T00:00:00.000+00:00,,5.9584871794871805,,6.500277777777779,6.451616915422886,,,,,,,,915.145864102564,,926.6134949494952,934.54739800995,,,,,,,86400,1
5,2023-01-03T00:00:00.000+00:00,,20.515330368487906,,20.75974457215837,6.280646630236795,,,,,,,,2084.023775095298,,2091.6391264367808,855.1292349726772,,,,,,,86400,1
6,2023-01-04T00:00:00.000+00:00,,8.036917110442232,,7.970583535949993,,,,,,,,,2652.534550127344,,2661.5849381729736,,,,,,,,86400,1
7,2023-01-05T00:00:00.000+00:00,6.723380704063443,7.520127236580518,6.662566371681414,7.6138427186580975,7.394932720708896,6.765945591609307,6.76981317600787,6.824268372703409,6.788920603674541,6.814208456243855,7.117468811556139,1626.195585103489,3228.3209078528826,1643.819499508358,3046.054206404532,1685.1915776173284,1622.3474457554903,1638.5628000655531,1638.1902496719165,1670.4912900262473,1631.1628525073747,1641.6318896913988,86400,1
8,2023-01-06T00:00:00.000+00:00,11.846700010599315,11.815900268953987,11.65250573641187,11.60446153846154,11.841423606134438,11.488392263415683,11.612313766122387,11.781274713467058,11.748416639793618,11.97621120458207,11.700004298610123,2569.9761317225234,2593.7800892273035,2526.78124913954,2528.7544638749096,2563.419220259425,2519.192089557042,2522.5870139340445,2635.1019510028623,2527.595829947329,2534.686504850547,2547.401919401061,86400,1
9,2023-01-07T00:00:00.000+00:00,79.27557846981537,79.84394998842322,79.39366909806651,74.34173036831132,73.14653547864337,85.76816392683509,70.38661727251683,78.18488420565085,82.3917654549664,86.0861387055687,71.6535734136174,15695.940381673916,15982.575521416988,15419.245207942584,14844.368697938376,14690.86421854379,16565.628818708046,14844.753845103032,17306.923662459445,16027.276103496186,16378.235892323704,14303.400377605383,86400,1
10,2023-01-08T00:00:00.000+00:00,19.626436867892554,19.27794788650841,19.528751736915247,18.85779025350158,19.287186848807604,19.179705882352927,18.33470704029645,18.64018068102849,19.39738042848871,20.719415238536357,18.44823393167342,13239.074539666588,13143.827235784604,12587.25002165354,13289.24623440214,13111.30684764991,12785.593299328397,12927.427670333493,14988.100352675456,13296.297450839593,12838.121041454397,12861.544499942103,86400,1
11,2023-01-09T00:00:00.000+00:00,20.188709443328257,19.60612275622468,20.205998377564047,19.34367079810032,19.86360532407408,19.718792125072397,18.84844951366373,19.621025136105622,19.41778716998609,20.857036951233656,19.440106543138405,18032.235088002504,17945.993080370572,17352.05274944951,18064.023081200023,17911.195869791674,17548.8806551245,17770.63461672073,19651.24966361634,18028.77140713293,17596.895450133212,17701.217372785166,86400,1
12,2023-01-10T00:00:00.000+00:00,20.45205881325528,20.175043156596796,20.45297054110685,19.459905113986466,19.593964730546297,19.382905571992108,19.086829388560133,20.76318209838491,20.306616105561734,20.966203452527743,19.77584812623274,22574.618384246467,22497.24936424165,21946.08367176138,22619.916391497238,22479.780477740784,22156.364367357004,22271.98412043883,24243.783319072845,22667.13591799233,22202.47985191122,22273.77783727813,86400,1
